"aou","Diet","ForStrat","Tol"
2881,3,1,0.416770198
2882,3,1,0.908859864
2890,2,1,0.702806355
2920,3,2,0.544837506
2930,3,1,0.289682163
2940,2,1,0.596121595
2950,3,1,0.429845498
2970,2,1,1.197330758
2980,NA,NA,0.532865024
3000,3,2,0.501710523
3010,2,1,0.281504651
3020,3,2,0.783891053
3040,1,1,NA
3050,4,1,0.112068416
3070,2,3,0.13402763
3080,4,1,0.240486577
3090,2,1,0.616075687
3091,4,1,0.639370212
3100,4,2,1.657639185
3120,2,2,0.841919416
3131,3,2,0.974153451
3160,2,2,1.491715815
3190,3,3,0.977561372
3200,3,1,0.197888061
3210,2,1,0.253162027
3850,5,1,0.879396299
3870,4,2,0.851683359
3880,5,4,0.490991142
3930,4,3,0.919225508
3940,3,3,1.503556922
3950,3,2,0.172206004
3960,2,4,0.473025534
3970,4,3,0.170649942
3990,3,4,0.894721724
4000,4,2,0.355675101
4010,2,3,0.885092326
4020,4,3,0.126316345
4021,4,3,0.867756653
4030,2,2,1.743808508
4040,3,4,0.536981654
4050,3,4,1.498109736
4060,4,3,0.829656281
4070,4,2,0.292748223
4080,3,2,0.76415724
4090,6,3,1.085595992
4100,4,3,0.205272787
4110,6,4,0.30779161
4120,NA,NA,1.845641156
4220,1,1,0.798051067
4230,1,3,0.983107587
4240,1,1,1.228910191
4250,1,2,1.041328137
4280,2,3,0.511032705
4290,2,3,1.162245665
4310,2,2,0.402562632
4320,2,2,0.702572913
4330,2,2,1.419376303
4360,NA,NA,0.515851638
4430,3,3,0.407786415
4440,4,2,0.650771716
4450,3,3,0.489194947
4470,2,3,1.185542459
4480,3,2,0.203620691
4520,2,1,1.647426735
4530,3,2,0.240007423
4540,3,2,1.095834464
4560,2,2,0.245614629
4570,2,2,0.827618262
4580,1,2,0.23356186
4590,1,2,1.20014417
4610,2,3,0.498172414
4620,2,3,1.401444226
4630,2,2,0.083550662
4640,2,3,1.120024686
4641,2,2,1.455547151
4650,2,3,0.55361241
